Freq.	V(ol5)	V(ol9)	V(ol10)	V(ol12)	V(ol15)	V(ol20)
1.15080038894443e+000	(5.96020432175364e+001dB,-8.47715493155536e-004°)	(6.12205126141189e+001dB,-9.24266135470551e-004°)	(6.16512390187970e+001dB,-9.50218240796353e-004°)	(6.25489879336478e+001dB,-1.01068844615947e-003°)	(6.40062204666015e+001dB,-1.12727448974035e-003°)	(6.68651815001128e+001dB,-1.43053671887465e-003°)
1.15345325782109e+000	(5.96020432175321e+001dB,-8.49669679189296e-004°)	(6.12205126141123e+001dB,-9.26396788959625e-004°)	(6.16512390188051e+001dB,-9.52408720068427e-004°)	(6.25489879336415e+001dB,-1.01301832364996e-003°)	(6.40062204665944e+001dB,-1.12987312581776e-003°)	(6.68651815001031e+001dB,-1.43383444658992e-003°)
1.15611224219210e+000	(5.96020432175284e+001dB,-8.51628370087183e-004°)	(6.12205126141092e+001dB,-9.28532354112633e-004°)	(6.16512390187988e+001dB,-9.54604248915178e-004°)	(6.25489879336602e+001dB,-1.01535357206565e-003°)	(6.40062204665839e+001dB,-1.13247775236957e-003°)	(6.68651815000975e+001dB,-1.43713977635336e-003°)
1.15877735615512e+000	(5.96020432175240e+001dB,-8.53591576233840e-004°)	(6.12205126141039e+001dB,-9.30672842251517e-004°)	(6.16512390187797e+001dB,-9.56804838977212e-004°)	(6.25489879336304e+001dB,-1.01769420377929e-003°)	(6.40062204665781e+001dB,-1.13508838320629e-003°)	(6.68651815000863e+001dB,-1.44045272568791e-003°)
1.16144861384034e+000	(5.96020432175225e+001dB,-8.55559308038348e-004°)	(6.12205126140979e+001dB,-9.32818264725089e-004°)	(6.16512390187899e+001dB,-9.59010501926446e-004°)	(6.25489879336228e+001dB,-1.02004023120884e-003°)	(6.40062204665710e+001dB,-1.13770503216844e-003°)	(6.68651815000688e+001dB,-1.44377331215838e-003°)
1.16412602941049e+000	(5.96020432175181e+001dB,-8.57531575932847e-004°)	(6.12205126140941e+001dB,-9.34968632908477e-004°)	(6.16512390187849e+001dB,-9.61221249452263e-004°)	(6.25489879336165e+001dB,-1.02239166679031e-003°)	(6.40062204665603e+001dB,-1.14032771312897e-003°)	(6.68651815000595e+001dB,-1.44710155337258e-003°)
1.16680961706096e+000	(5.96020432175129e+001dB,-8.59508390374319e-004°)	(6.12205126140895e+001dB,-9.37123958202390e-004°)	(6.16512390187792e+001dB,-9.63437093277375e-004°)	(6.25489879336364e+001dB,-1.02474852299371e-003°)	(6.40062204665545e+001dB,-1.14295643999412e-003°)	(6.68651815000482e+001dB,-1.45043746697482e-003°)
1.16949939101987e+000	(5.96020432175084e+001dB,-8.61489761843786e-004°)	(6.12205126140856e+001dB,-9.39284252034314e-004°)	(6.16512390187714e+001dB,-9.65658045149806e-004°)	(6.25489879336286e+001dB,-1.02711081230850e-003°)	(6.40062204665479e+001dB,-1.14559122670048e-003°)	(6.68651815000305e+001dB,-1.45378107065107e-003°)
1.17219536554813e+000	(5.96020432175038e+001dB,-8.63475700846209e-004°)	(6.12205126140809e+001dB,-9.41449525857767e-004°)	(6.16512390187665e+001dB,-9.67884116845375e-004°)	(6.25489879336222e+001dB,-1.02947854726276e-003°)	(6.40062204665364e+001dB,-1.14823208721680e-003°)	(6.68651815000211e+001dB,-1.45713238213120e-003°)
1.17489755493953e+000	(5.96020432175022e+001dB,-8.65466217911133e-004°)	(6.12205126140748e+001dB,-9.43619791152730e-004°)	(6.16512390187643e+001dB,-9.70115320166485e-004°)	(6.25489879336172e+001dB,-1.03185174040996e-003°)	(6.40062204665347e+001dB,-1.15087903554664e-003°)	(6.68651815000095e+001dB,-1.46049141918180e-003°)
1.17760597352080e+000	(5.96020432174984e+001dB,-8.67461323591566e-004°)	(6.12205126140722e+001dB,-9.45795059426267e-004°)	(6.16512390187564e+001dB,-9.72351666941821e-004°)	(6.25489879335844e+001dB,-1.03423040432907e-003°)	(6.40062204665513e+001dB,-1.15353208572498e-003°)	(6.68651814999951e+001dB,-1.46385819961205e-003°)
